PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
56, 1658057181, 0.8406024, 0.414927, 0.20513844, -0.28132132, 0.1452681, 0.1628595, -0.07985687
57, 1658073848, 0.8407079, 0.4144534, 0.20552263, -0.28142348, 0.022407498, 0.035950363, -0.16616917
58, 1658090515, 0.8405967, 0.41439492, 0.20569447, -0.28171614, -0.06604522, -0.20130399, -0.20863914
59, 1658107182, 0.84021425, 0.41488945, 0.20568767, -0.28213367, 1.9239634E-4, -0.2498927, -0.23450279
60, 1658123849, 0.8396915, 0.4156292, 0.20563263, -0.28264073, 0.14232314, -0.04691651, -0.048666004
61, 1658140516, 0.83941454, 0.41592956, 0.2057503, -0.2829361, 0.16856933, 0.08850704, 0.13513662
62, 1658157183, 0.83937585, 0.41586334, 0.20600894, -0.28296024, 0.005366931, -0.0047254767, 0.025424957
63, 1658173850, 0.8393663, 0.4158135, 0.20624667, -0.28288817, -0.09174023, -0.0648496, 0.015396119
64, 1658190517, 0.83939075, 0.41576532, 0.20640276, -0.28277287, -0.15329611, 0.07037051, 0.046215057
65, 1658207184, 0.83949137, 0.41562125, 0.20654228, -0.2825838, -0.05323135, 0.19655827, 0.025092125
66, 1658223851, 0.83965605, 0.4154208, 0.20663309, -0.2823228, -0.09967135, 0.17533112, -0.011336327
67, 1658240518, 0.83981967, 0.41530272, 0.20658268, -0.28204688, -0.10857377, 0.07079289, -0.020705223
68, 1658257185, 0.8400878, 0.41508803, 0.20653822, -0.28159654, -0.021465715, 0.03858438, -0.023850441
69, 1658273852, 0.84045863, 0.41465825, 0.20653383, -0.28112608, 0.02992135, 0.07922113, -0.0572691
70, 1658290519, 0.8410021, 0.41395065, 0.2066811, -0.28043404, 0.03201166, 0.050840743, -0.098425865
71, 1658307186, 0.8415235, 0.41332585, 0.2067318, -0.27975333, -0.10046908, -0.19250272, -0.18213654
72, 1658323853, 0.8418274, 0.41315788, 0.20655602, -0.2792174, -0.16911516, -0.2676607, -0.18515491
73, 1658340520, 0.8419399, 0.41334936, 0.20618954, -0.27886552, 0.02566041, -0.17095992, -0.18641283
74, 1658357187, 0.84203446, 0.41355366, 0.20592353, -0.27847245, 0.23210232, 0.025709763, -0.08194542
75, 1658373854, 0.8422495, 0.4134362, 0.20579176, -0.27809358, 0.29985017, 0.17170395, 0.009566308
76, 1658390521, 0.8426831, 0.41292396, 0.2058326, -0.27751046, 0.17005081, 0.07403961, 0.030148508
77, 1658407188, 0.84322524, 0.412167, 0.20588614, -0.27694878, 0.08374224, 0.110853, 0.08985901
78, 1658423855, 0.843868, 0.41120622, 0.20596872, -0.27635753, 0.040415026, 0.076917164, 0.046520237
79, 1658440522, 0.8444352, 0.41043937, 0.20596519, -0.27576688, -0.05775246, -0.13315623, 0.0014362335
80, 1658457189, 0.84475857, 0.41009143, 0.20581296, -0.275407, 0.0037618456, -0.029072465, 0.12521267
81, 1658473856, 0.8450992, 0.4096861, 0.20565265, -0.27508473, 0.08540009, 0.07606904, 0.12839985
82, 1658490523, 0.8455754, 0.4090434, 0.20559274, -0.27462196, 0.058964152, 0.020338843, 0.10292053
83, 1658507190, 0.8462068, 0.40811068, 0.20563303, -0.27403483, 0.07318097, -0.021715926, 0.17692089
84, 1658523857, 0.84700763, 0.4068693, 0.2058779, -0.27322155, 0.13696572, -0.10353853, 0.21684457
85, 1658540524, 0.84783953, 0.40555114, 0.20617089, -0.27237836, 0.17063145, -0.12318437, 0.08419418
86, 1658557191, 0.8486907, 0.40418917, 0.20651346, -0.2714912, 0.037444174, -0.20387104, -0.057646755
87, 1658573858, 0.84936154, 0.40321994, 0.20670015, -0.27069113, -0.12882395, -0.3718644, -0.111302376
88, 1658590525, 0.8496871, 0.4029455, 0.2066463, -0.27011898, -0.058921054, -0.24850836, -0.041210175
89, 1658607192, 0.8497894, 0.4030828, 0.20648083, -0.26971877, 0.06254547, -0.084209986, 0.06329918
90, 1658623859, 0.8498396, 0.40328822, 0.206348, -0.26935437, 0.11565523, -0.0068235584, 0.048822403
91, 1658640526, 0.85002655, 0.40319726, 0.20637268, -0.2688814, 0.22509731, 0.06429234, 0.1872549
92, 1658657193, 0.8504528, 0.40261573, 0.20664726, -0.26819363, 0.25894058, 0.02200009, 0.2488985
93, 1658673860, 0.85094774, 0.40185633, 0.20705938, -0.26744345, 0.19484657, -0.056457654, 0.1160574
94, 1658690527, 0.85144985, 0.40105253, 0.20752048, -0.26669365, 0.16729099, -0.026454017, 0.009443283
95, 1658707194, 0.8519223, 0.4002912, 0.2079772, -0.26597208, 0.10077497, -0.050310627, -0.039100647
96, 1658723861, 0.8523109, 0.3996786, 0.20835094, -0.26535445, 0.0382991, -0.044186156, -0.024256706
97, 1658740528, 0.85260594, 0.399249, 0.20864229, -0.26482412, -0.010564848, -0.0068596187, 0.0018634797
98, 1658757195, 0.8527653, 0.39910626, 0.20878984, -0.26440948, -0.06014471, -0.0419183, -0.07326603
99, 1658773862, 0.8528453, 0.39916778, 0.20884019, -0.2640188, -0.009838834, 0.04957775, -0.074155815
100, 1658790529, 0.8529181, 0.39924616, 0.20885171, -0.2636558, 0.023990307, 0.09602775, -0.0012407303
101, 1658807196, 0.8529527, 0.3994124, 0.20883559, -0.2633045, 0.033289913, 0.02878051, -0.009196281
102, 1658823863, 0.85288733, 0.39971128, 0.20872621, -0.26314926, 0.038264908, 0.08078496, 0.013264657
103, 1658840530, 0.85286903, 0.3999491, 0.20865908, -0.26290035, 0.025377156, 0.082207136, 0.014847755
104, 1658857197, 0.8529425, 0.40001994, 0.20865238, -0.26255912, 0.06727958, 0.09334003, -0.025223732
105, 1658873864, 0.8530538, 0.3999974, 0.20860341, -0.26227054, 0.08409306, 0.08474805, -0.08594895
106, 1658890531, 0.85319805, 0.3999602, 0.20852396, -0.2619214, 0.038063034, 0.029199965, -0.101896286
107, 1658907198, 0.8533478, 0.39992234, 0.20837139, -0.2616124, 0.031380504, 0.058437355, -0.10190773
108, 1658923865, 0.8534438, 0.3999956, 0.20813832, -0.26137272, -0.0014791451, 0.09743646, -0.15710735
109, 1658940532, 0.85347503, 0.40020287, 0.2077969, -0.26122501, -0.035829827, 0.13947776, -0.16285133
110, 1658957199, 0.8534628, 0.40048388, 0.20735838, -0.26118296, -0.04071255, 0.24012375, -0.09186077
111, 1658973866, 0.85362446, 0.40045583, 0.20698884, -0.26099068, 0.06472872, 0.34479022, 0.064427376
112, 1658990533, 0.85400164, 0.39999735, 0.20672512, -0.26066893, 0.050905615, 0.25537747, 0.1337061
113, 1659007200, 0.85434824, 0.39955953, 0.20640427, -0.26045847, -0.011890525, 0.068605855, 0.06677532
114, 1659023867, 0.854574, 0.39934257, 0.20600821, -0.26036432, -0.036701087, -0.012663587, 0.039643288
115, 1659040534, 0.85472095, 0.3992918, 0.20561984, -0.26026663, 0.015684713, 0.046313822, 0.031233791
116, 1659057201, 0.8548713, 0.39917076, 0.20528989, -0.26021922, 0.15080103, 0.13177621, 0.1158638
117, 1659073868, 0.8551197, 0.39880747, 0.20508061, -0.26012555, 0.17102659, 0.06629399, 0.14930725
118, 1659090535, 0.85545826, 0.3982182, 0.20499542, -0.2599813, 0.15379325, 0.042846743, 0.16506958
119, 1659107202, 0.8559017, 0.39740375, 0.20505843, -0.25971872, 0.072485626, -0.008439168, 0.17074585
120, 1659123869, 0.8563014, 0.3966419, 0.20512998, -0.25950912, -0.046981648, -0.0749811, 0.08631134
121, 1659140536, 0.85653585, 0.39621988, 0.20515339, -0.25936145, -0.101241276, -0.15979339, 0.0021429064
122, 1659157203, 0.8566369, 0.39603588, 0.2051666, -0.25929853, -0.017963057, -0.047932755, 0.06424713
123, 1659173870, 0.856736, 0.39585266, 0.20525637, -0.25917956, -0.010467995, -0.009450273, 0.051980972
124, 1659190537, 0.8568098, 0.39569277, 0.20537865, -0.25908282, -0.014608065, 0.069188625, 0.07320118
125, 1659207204, 0.8569359, 0.3954245, 0.20555228, -0.2589376, -0.04229963, 0.07007552, 0.03379917
126, 1659223871, 0.8570533, 0.3951773, 0.20573626, -0.2587806, -0.07129162, 0.006646581, 0.009303093
127, 1659240538, 0.85715795, 0.3949445, 0.20589429, -0.25866392, -0.027982753, 0.008315157, 0.05454445
128, 1659257205, 0.85725784, 0.39472, 0.20606986, -0.25853518, -0.027992254, 0.002459108, 0.04561615
129, 1659273872, 0.85730714, 0.3945764, 0.20624064, -0.25845477, -0.10403711, 0.0815657, 0.038974762
130, 1659290539, 0.8573566, 0.3944305, 0.20640132, -0.25838524, -0.08299551, 0.10341568, 0.08162213
131, 1659307206, 0.85740757, 0.39428803, 0.20657977, -0.25829077, -0.032258023, 0.06758349, 0.024326324
132, 1659323873, 0.8574188, 0.39424223, 0.20672949, -0.25820374, -0.06669836, 0.039889157, -0.021138191
133, 1659340540, 0.857513, 0.39405844, 0.2069219, -0.25801736, -0.073077954, 0.12922533, 0.017396927
134, 1659357207, 0.8577222, 0.39366812, 0.20711663, -0.25776106, -0.13251382, 0.08122751, 0.02127266
135, 1659373874, 0.8579192, 0.39333057, 0.20725653, -0.25750875, -0.090951905, -0.014553748, 0.011694909
136, 1659390541, 0.85810685, 0.39302778, 0.20739213, -0.2572361, 0.011224091, 0.050778866, -0.018272402
137, 1659407208, 0.85827243, 0.39277062, 0.20751286, -0.25697887, -0.005531924, 0.06414131, -0.038693428
138, 1659423875, 0.85835874, 0.3926713, 0.20758402, -0.2567851, -0.025180593, 0.062996075, -0.021795275
139, 1659440542, 0.85838354, 0.3927104, 0.20763281, -0.25660303, -0.02070576, 0.09676907, -0.016804697
140, 1659457209, 0.8583836, 0.39276946, 0.20768303, -0.25647146, 0.029354203, 0.15149772, -0.023332598
