PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
62,469678358,0.160937997,0.020223602,0.024602536,0.999979009,-4.51E-04,0.006452386,-3.80E-04
63,469695025,0.165908549,0.025402403,0.01989985,0.999975699,-0.001416603,0.00679055,-6.94E-04
64,469711692,0.168643639,0.024043757,0.018084191,0.999969672,-0.002140943,0.007442383,-8.26E-04
65,469728359,0.165602556,0.016953372,0.023380042,0.999963836,-0.001894873,0.008272714,-5.47E-04
66,469745026,0.159607433,0.014086426,0.030728574,0.999959453,-0.001032462,0.008945223,-9.19E-05
67,469761693,0.158025083,0.021107916,0.03226356,0.99995578,-6.89E-04,0.009378307,1.07E-04
68,469778360,0.158211301,0.027785011,0.031420477,0.999950614,-0.001466142,0.009829367,-5.78E-05
69,469795027,0.151646112,0.018104213,0.040362303,0.999945359,-0.001910535,0.010277136,-9.75E-05
70,469811694,0.146937984,0.015161895,0.04643325,0.999943393,-0.001306976,0.010555991,2.73E-04
71,469828361,0.146807108,0.020481416,0.047780251,0.999941069,-0.001163631,0.010782162,4.99E-04
72,469845028,0.14644786,0.018844051,0.052039439,0.999937258,-0.001748222,0.011060677,2.91E-04
73,469861695,0.140875491,0.010716634,0.062239664,0.999935088,-0.001731891,0.011257966,2.82E-04
74,469878362,0.135971217,0.011652906,0.068973651,0.99993593,-0.001140191,0.011248976,5.45E-04
75,469895029,0.132808087,0.018137487,0.07316006,0.999937941,-0.001173391,0.011057452,6.86E-04
76,469911696,0.132948397,0.017146519,0.07656564,0.999940073,-0.001827562,0.010776601,6.13E-04
77,469928363,0.132121821,0.01108775,0.082428943,0.99994076,-0.002423682,0.010606473,3.25E-04
78,469945030,0.129085458,0.011190688,0.08846893,0.999942754,-0.002782444,0.010331801,2.60E-05
79,469961697,0.126968864,0.011530044,0.092103178,0.999946425,-0.00275024,0.009978781,9.02E-05
80,469978364,0.127637819,0.010722317,0.093863109,0.99994977,-0.002354201,0.009727803,5.35E-04
81,469995031,0.128988542,0.009366625,0.096065698,0.999951303,-0.002035598,0.009623599,7.96E-04
82,470011698,0.127281238,0.006637478,0.100043898,0.99995174,-0.001969789,0.009600801,6.80E-04
83,470028365,0.122751265,0.004548183,0.106003917,0.999953283,-0.001850888,0.009477194,4.35E-04
84,470045032,0.119675997,0.008234258,0.110957077,0.999955637,-0.001883624,0.009226691,2.11E-04
85,470061699,0.116250283,0.011284091,0.115097848,0.999959269,-0.002058639,0.008785225,2.03E-04
86,470078366,0.115139735,0.008616114,0.116514922,0.999962862,-0.00207272,0.00835493,4.16E-04
87,470095033,0.114403942,0.005787624,0.117884126,0.999965433,-0.001893026,0.008076797,5.61E-04
88,470111700,0.112708114,0.007200376,0.118778392,0.999967316,-0.002072897,0.007805878,3.71E-04
89,470128367,0.114448406,0.013579077,0.116815591,0.999967347,-0.002830811,0.007569066,-1.07E-06
90,470145034,0.115150007,0.012637369,0.117466835,0.99996572,-0.003489285,0.007508943,-1.71E-05
91,470161701,0.1123551,0.001105439,0.120871145,0.999966934,-0.002964257,0.007557,4.85E-04
92,470178368,0.108088244,-0.003586666,0.122337785,0.999969211,-0.001601548,0.00761468,0.001014696
93,470195035,0.106992823,3.49E-04,0.120720705,0.999970228,-9.22E-04,0.007586402,0.001067795
94,470211702,0.107666205,0.007152173,0.119190268,0.999970066,-0.001065517,0.007619074,8.26E-04
95,470228369,0.108469559,0.010650755,0.118083414,0.999968819,-0.00166957,0.007687254,6.92E-04
96,470245036,0.106760527,0.005906431,0.118899585,0.999966299,-0.002115698,0.007898468,7.34E-04
97,470261703,0.102841267,0.001951072,0.122487153,0.999964709,-0.002210862,0.00807241,7.27E-04
98,470278370,0.096891165,6.04E-04,0.127343764,0.999964726,-0.001983305,0.008123701,7.87E-04
99,470295037,0.094130308,-0.001375961,0.130022449,0.999966097,-0.001517438,0.008024123,0.001055943
100,470311704,0.093034029,-0.002089194,0.130682902,0.999967072,-0.001004649,0.007938614,0.001350193
101,470328371,0.090554888,-0.002393139,0.133608534,0.999967392,-8.74E-04,0.007911904,0.001361468
102,470345038,0.085919636,-0.003881729,0.13851913,0.999969144,-0.001072274,0.007715644,0.001014735
103,470361705,0.084341683,-0.004264624,0.141129672,0.999971947,-0.001325737,0.0073417,6.69E-04
104,470378372,0.085792222,-0.005141644,0.141201727,0.999973972,-0.001332332,0.007069571,5.49E-04
105,470395039,0.085833239,-0.005033748,0.143923237,0.999974455,-0.001464054,0.006987662,3.44E-04
106,470411706,0.080043086,-0.00720445,0.148667099,0.999975571,-0.001476686,0.006827499,2.49E-04
107,470428373,0.075355594,-0.015394301,0.153182598,0.999978278,-7.38E-04,0.006538148,3.89E-04
108,470445040,0.07527891,-0.016283872,0.152857163,0.9999803,4.78E-04,0.006228193,6.17E-04
109,470461707,0.078036836,-0.006919836,0.151043362,0.99998128,6.83E-04,0.006069144,3.71E-04
110,470478374,0.076286996,9.33E-04,0.153597171,0.999982439,-3.09E-04,0.005913645,-2.35E-04
111,470495041,0.070899477,3.95E-04,0.157994599,0.999983857,-0.001299124,0.00550423,-5.48E-04
112,470511708,0.068959465,-0.004159439,0.15757964,0.9999863,-0.001520417,0.004994996,-3.72E-04
113,470528375,0.068622984,-0.009481527,0.156215676,0.999988386,-0.001230102,0.004656604,-1.74E-04
114,470545042,0.069898782,-0.009005919,0.155203451,0.999989317,-0.001187803,0.004455448,-3.22E-04
115,470561709,0.070240431,-0.008560656,0.153936668,0.999989607,-0.001285173,0.0043373,-5.68E-04
116,470578376,0.071059793,-0.008056067,0.151615284,0.999990013,-0.001038136,0.004314292,-5.32E-04
117,470595043,0.07204785,-0.004817967,0.148445768,0.999989997,-6.11E-04,0.004424939,-2.27E-04
118,470611710,0.072609473,-0.00356861,0.146245579,0.999989083,-6.91E-04,0.004620456,-8.99E-05
119,470628377,0.072373021,-0.00698516,0.14501403,0.999987513,-0.001192998,0.004836489,-3.99E-04
120,470645044,0.067963412,-0.011467467,0.144528316,0.9999864,-0.001143814,0.005052088,-6.06E-04
121,470661711,0.066112936,-0.009528072,0.144408012,0.999985696,-4.72E-04,0.005313851,-3.84E-04
122,470678378,0.06539467,-0.003372834,0.143312011,0.999984315,-1.65E-04,0.005595845,-1.72E-04
123,470695045,0.062397489,-0.005761275,0.145426779,0.999982885,-1.06E-04,0.005848934,-9.72E-05
124,470711712,0.059499612,-0.009403965,0.146583506,0.999982024,2.15E-04,0.005992076,2.15E-05
125,470728379,0.058931204,-0.006214511,0.14734498,0.999980768,5.65E-04,0.006175814,5.23E-05
126,470745046,0.05730698,0.001767832,0.150628663,0.999980307,1.92E-04,0.006272885,-1.54E-05
127,470761713,0.05392224,0.003979249,0.154000262,0.999980038,-8.11E-04,0.006262894,-2.06E-04
128,470778380,0.049266049,-0.002000152,0.158789667,0.999980233,-0.001568754,0.006081886,-2.89E-04
129,470795047,0.048154445,-0.008797744,0.162062821,0.999980522,-0.001483749,0.006059141,-2.03E-04
130,470811714,0.044756783,-0.009343115,0.167504332,0.999981262,-0.001028197,0.0060335,-1.25E-04
131,470828381,0.037274504,-0.00647713,0.172585415,0.999983006,-6.69E-04,0.005791309,-1.78E-05
132,470845048,0.03377991,-0.00609901,0.176103081,0.999986135,-3.46E-04,0.005244231,3.30E-04
