PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
122,596558424,0.114845999,0.025554022,0.125633094,0.999993917,-0.001367207,0.002306765,-0.002230418
123,596575091,0.136895672,0.028158281,0.103139368,0.999990518,-0.003239506,0.002133172,-0.001979508
124,596591758,0.159412048,0.028557115,0.07716104,0.999986509,-0.003886651,0.003341157,-8.45E-04
125,596608425,0.163897048,0.014749955,0.067890432,0.999977455,-0.003633011,0.005635557,3.63E-04
126,596625092,0.147129559,-0.001584258,0.078634857,0.999966947,-0.002379887,0.007685922,0.001169139
127,596641759,0.122318104,-0.012552511,0.100799544,0.999959763,-8.70E-04,0.008820693,0.001382826
128,596658426,0.094034494,-0.021305295,0.130713207,0.999962721,2.31E-04,0.008591825,8.27E-04
129,596675093,0.073984856,-0.02396886,0.156795191,0.999975139,7.69E-04,0.006998261,-3.93E-04
130,596691760,0.069704172,-0.014120726,0.167036893,0.999987792,8.83E-04,0.004634058,-0.001470601
131,596708427,0.084330556,0.00191051,0.157329049,0.999995139,7.09E-04,0.002515571,-0.00170041
132,596725094,0.107305468,0.016971401,0.137584696,0.999998373,2.48E-04,0.001460657,-0.00102933
133,596741761,0.124654079,0.02392573,0.117958097,0.99999855,-8.25E-04,0.001469923,-2.43E-04
134,596758428,0.141636295,0.023363638,0.097412617,0.999994351,-0.002330708,0.002415978,1.68E-04
135,596775095,0.151883887,0.012479683,0.083638803,0.999984105,-0.003568586,0.004361236,1.88E-04
136,596791762,0.144036615,-0.003761957,0.085589956,0.999972757,-0.00326519,0.006615078,2.54E-04
137,596808429,0.119254356,-0.020472953,0.10690286,0.999965149,-0.001014459,0.008247934,8.02E-04
138,596825096,0.09241622,-0.024219579,0.132144486,0.999962313,0.00172118,0.008427534,0.001177904
139,596841763,0.077234372,-0.02122948,0.147944093,0.999967375,0.003074732,0.007423298,8.30E-04
140,596858430,0.074822212,-0.010230227,0.152571106,0.999978077,0.00273862,0.006020851,-3.07E-04
141,596875097,0.080328485,5.86E-04,0.15311657,0.99998664,0.001283525,0.004790982,-0.001455361
142,596891764,0.086437746,0.00959121,0.150454188,0.999990483,-4.32E-04,0.003799808,-0.002099856
143,596908431,0.095089676,0.014889872,0.143291112,0.99999128,-0.001716073,0.003223598,-0.002025468
144,596925098,0.109592997,0.013924683,0.129229847,0.999991694,-0.002098612,0.003286667,-0.001185317
145,596941765,0.120543089,0.009951997,0.114814229,0.999989075,-0.001840692,0.004291647,-2.08E-04
146,596958432,0.116930963,0.00236531,0.11555169,0.999982624,-0.001112897,0.005763013,5.48E-04
147,596975099,0.099434385,-0.006842049,0.13146854,0.999976768,-6.03E-05,0.00672468,0.001112542
148,596991766,0.079260201,-0.018504339,0.152188654,0.999976704,0.001153618,0.006652435,0.00100304
149,597008433,0.060265623,-0.02079536,0.171990694,0.99998302,0.002038574,0.005455381,2.06E-04
150,597025100,0.049620883,-0.010081173,0.181168189,0.99999192,0.00212951,0.0033212,-7.71E-04
151,597041767,0.058066985,0.005788574,0.173200687,0.999997627,0.001453544,0.001107791,-0.001185611
152,597058434,0.080926123,0.019869402,0.151502775,0.999999461,1.72E-04,-2.16E-04,-0.0010004
153,597075101,0.106658428,0.023194414,0.125624569,0.999998592,-0.001520445,-2.65E-04,-6.58E-04
154,597091768,0.127412001,0.020514201,0.102684252,0.999994583,-0.003043638,0.001172318,-4.43E-04
155,597108435,0.130076813,0.008626814,0.094998223,0.999987451,-0.003574677,0.003508563,-9.49E-05
156,597125102,0.117098071,-0.009885569,0.104356979,0.999980466,-0.002082927,0.005859294,6.30E-04
157,597141769,0.09408341,-0.021270153,0.124556006,0.999970521,0.001063534,0.007437034,0.001586455
158,597158436,0.0689654,-0.022119563,0.148777913,0.999959117,0.004094231,0.007820785,0.001959056
159,597175103,0.049803856,-0.008157932,0.167635337,0.999962198,0.005175741,0.006835834,0.001444166
160,597191770,0.043859306,0.011242139,0.173919766,0.999979885,0.003826931,0.005040562,4.21E-04
161,597208437,0.049594699,0.020801377,0.170615514,0.999994418,0.001146721,0.003098705,-4.97E-04
162,597225104,0.063476824,0.018941674,0.156890677,0.999997618,-9.89E-04,0.001740555,-8.70E-04
163,597241771,0.080932052,0.017587598,0.138921774,0.999995981,-0.0022641,0.001550057,-7.13E-04
164,597258438,0.095143115,0.017919515,0.124179507,0.999991201,-0.003417614,0.00234057,-6.63E-04
165,597275105,0.103847605,0.013400681,0.112916082,0.99998342,-0.00421023,0.003901061,-4.64E-04
166,597291772,0.097686363,-0.005095461,0.118139681,0.999977575,-0.003339292,0.005798499,2.77E-04
167,597308439,0.078296612,-0.022353027,0.137573444,0.999974023,-4.69E-04,0.007093687,0.001188912
168,597325106,0.05287994,-0.022867864,0.163282189,0.999969448,0.002677263,0.007141549,0.001712839
169,597341773,0.033431059,-0.008104162,0.182084962,0.999973797,0.004170424,0.005675421,0.00167426
170,597358440,0.031056674,0.008904644,0.183525376,0.999988051,0.003174736,0.003565539,0.001051369
171,597375107,0.04567475,0.018475327,0.174867374,0.999998284,5.80E-04,0.001755637,1.14E-04
172,597391774,0.058245038,0.018653316,0.161136402,0.999997792,-0.001880213,8.15E-04,-4.66E-04
173,597408441,0.069253912,0.013544353,0.148532374,0.999994565,-0.003204256,7.02E-04,-3.32E-04
174,597425108,0.077396455,6.57E-04,0.13961773,0.99999447,-0.003018981,0.001377885,2.17E-04
175,597441775,0.083024245,-0.007741683,0.135380458,0.999994971,-0.00149597,0.002612137,9.99E-04
176,597458442,0.076506033,-0.012105662,0.139129351,0.999989977,7.65E-04,0.003996848,0.001867333
177,597475109,0.064756396,-0.010518763,0.151254681,0.999982305,0.002394136,0.004967531,0.0022321
